triangle_key,2017,2018,2019,2020,2021,2022
BTC|BUSD|FIO,0,0,0,11,25,10
BUSD|DATA|ETH,0,0,0,6,37,3
BNB|CTSI|USDT,0,0,0,28,18,0
BUSD|USDT|XVS,0,0,0,10,20,15
BUSD|LRC|USDT,0,0,0,15,30,0
BTC|FIO|USDT,0,0,0,5,17,23
ETH|IOTX|USDT,0,0,4,28,13,0
BTC|CTXC|USDT,0,0,16,11,18,0
ETH|LSK|USDT,0,0,0,15,13,17
BNB|SAND|USDT,0,0,0,17,28,0
BTC|BUSD|KSM,0,0,0,45,0,0
BTC|BUSD|STRAX,0,0,0,4,39,1
BNB|BTT|USDC,0,0,17,1,26,0
BTC|BTG|USDT,0,0,0,0,37,7
BUSD|USDT|XVG,0,0,0,0,7,36
BNB|ONT|USDT,0,33,7,2,1,0
BNB|MBL|USDT,0,0,0,21,18,3
LTC|TUSD|USDT,0,0,5,14,23,0
BTC|ORN|USDT,0,0,0,19,16,7
BUSD|DGB|USDT,0,0,0,16,26,0
BUSD|KSM|USDT,0,0,0,42,0,0
BNB|BTC|FIL,0,0,0,8,0,33
BTC|ONT|USDT,0,1,0,3,37,0
BTC|GXS|USDT,0,0,0,17,24,0
BTC|STX|USDT,0,0,14,24,2,0
BTC|DOGE|GBP,0,0,0,0,40,0
BTC|PSG|USDT,0,0,0,5,28,7
ADA|USDC|USDT,0,0,8,29,3,0
ETH|LRC|USDT,0,0,0,31,9,0
BTC|USDT|WRX,0,0,0,8,15,16
BNB|CTK|USDT,0,0,0,14,12,13
AXS|BNB|USDT,0,0,0,13,26,0
AUDIO|BTC|BUSD,0,0,0,6,31,2
BUSD|USDT|YFI,0,0,0,39,0,0
BUSD|POND|USDT,0,0,0,0,39,0
BNB|BTC|COTI,0,0,0,16,18,5
BUSD|CTK|USDT,0,0,0,26,6,7
BTC|EOS|TUSD,0,0,6,5,28,0
BNB|ETH|THETA,0,14,16,3,6,0
BNB|BTC|ETC,0,23,5,1,10,0
BNB|COTI|USDT,0,0,0,14,11,13
BTC|BTCST|BUSD,0,0,0,0,31,7
AUDIO|BTC|USDT,0,0,0,17,21,0
BNB|MATIC|USDT,0,0,29,1,7,0
BNB|EOS|EUR,0,0,0,0,36,1
BUSD|USDC|ZEC,0,0,0,0,17,19
BTC|THETA|USDT,0,0,28,8,0,0
BTC|BUSD|NMR,0,0,0,31,2,3
BTC|EUR|LUNA,0,0,0,0,5,30
ETH|REP|USDT,0,0,0,17,18,0
BNB|MFT|USDT,0,0,5,12,18,0
BNB|BTC|TUSD,0,0,3,14,16,2
BNT|BTC|USDT,0,0,0,35,0,0
BNB|FIL|USDT,0,0,0,9,0,26
ATOM|BUSD|USDC,0,0,0,0,34,0
BNB|TRX|XRP,0,0,1,4,29,0
BTC|REN|USDT,0,0,24,9,0,1
BTC|TUSD|XRP,0,0,6,11,13,4
BNB|USDT|WTC,0,0,0,15,19,0
BAL|BTC|BUSD,0,0,0,32,1,0
BNB|BTC|LUNA,0,0,0,5,0,28
ETH|STMX|USDT,0,0,0,12,15,6
BTC|BUSD|HBAR,0,0,0,9,21,3
BLZ|BNB|USDT,0,0,0,9,24,0
BNB|HBAR|USDT,0,0,8,5,19,1
BUSD|NMR|USDT,0,0,0,21,7,5
BNB|BUSD|FIL,0,0,0,1,0,31
BTC|LUNA|USDT,0,0,0,1,0,31
BTC|ETH|NANO,0,12,8,7,5,0
BTC|ETH|LTC,30,2,0,0,0,0
BEL|BNB|BUSD,0,0,0,17,11,4
ADA|BNB|USDT,0,5,27,0,0,0
ETH|PAX|XRP,0,0,0,17,15,0
BTC|BUSD|INJ,0,0,0,7,24,1
BNB|BTC|SAND,0,0,0,16,16,0
BUSD|OMG|USDT,0,0,0,0,32,0
BNB|FTT|USDT,0,0,0,7,24,0
ETH|KMD|USDT,0,0,0,1,24,6
AR|BUSD|USDT,0,0,0,0,31,0
ETH|IOTA|USDT,0,5,1,6,13,6
BNB|USDT|ZIL,0,0,23,6,1,0
BUSD|LIT|USDT,0,0,0,0,27,3
BNT|ETH|USDT,0,0,0,13,11,6
BTC|BUSD|OCEAN,0,0,0,30,0,0
ETH|USDT|WAN,0,0,14,8,8,0
ETH|MANA|USDT,0,0,0,15,15,0
BNB|ETH|ZEN,0,13,7,7,2,0
BNB|BTC|DASH,0,0,15,5,7,2
TRX|USDC|WIN,0,0,0,4,25,0
ADA|BTC|USDC,0,0,9,17,2,0
AXS|BNB|BTC,0,0,0,10,18,0
LAZIO|TRY|USDT,0,0,0,0,2,26
BNB|ETC|USDT,0,19,8,0,1,0
BUSD|TWT|USDT,0,0,0,0,27,0
BNB|USDT|WAVES,0,0,11,9,7,0
BUSD|USDC|WIN,0,0,0,0,26,1
BTC|STRAX|USDT,0,0,0,3,23,1
BNB|DAI|USDT,0,0,0,27,0,0
BTC|LTC|USDT,24,3,0,0,0,0
BAND|BUSD|USDT,0,0,0,0,27,0
EUR|SXP|USDT,0,0,0,0,0,27
PAX|TRX|USDT,0,0,7,2,18,0
BUSD|LINA|USDT,0,0,0,0,25,1
BTC|OMG|USDT,0,0,24,2,0,0
BNB|FTM|USDT,0,0,9,11,6,0
BTC|BUSD|YFI,0,0,0,26,0,0
BTT|TRX|USDC,0,0,2,10,13,0
BNB|BTT|TUSD,0,0,8,0,17,0
BTC|BUSD|SAND,0,0,0,16,9,0
BTC|LTC|TUSD,0,0,6,6,13,0
ADA|BNB|TUSD,0,0,6,8,8,3
TRX|TUSD|USDT,0,0,4,7,14,0
BUSD|JST|USDT,0,0,0,24,1,0
BUSD|SAND|USDT,0,0,0,20,4,0
BNB|PAX|USDT,0,0,3,11,10,0
BNB|ONE|USDT,0,0,3,19,0,2
BNB|EOS|USDC,0,0,4,6,14,0
BNB|BUSD|WRX,0,0,0,2,19,3
BNB|ETH|TUSD,0,0,3,9,12,0
TRX|USDT|WIN,0,0,2,15,6,0
BTC|EUR|SXP,0,0,0,1,1,21
BTC|HIVE|USDT,0,0,0,7,12,4
ETH|NANO|USDT,0,0,13,9,1,0
ADA|BNB|BTC,0,4,19,0,0,0
BTC|ETH|ONT,0,15,0,3,5,0
BNB|IOTA|USDT,0,14,5,2,0,2
BUSD|OCEAN|USDT,0,0,0,21,2,0
BNB|RUNE|USDT,0,0,0,12,10,0
AXS|BNB|BUSD,0,0,0,5,17,0
BNB|EOS|TUSD,0,0,2,5,15,0
ETH|LINK|USDT,0,0,22,0,0,0
